#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.960844   -0.960844           0
           2   -0.965024   -0.962934  0.00147785
           3   -0.966568   -0.964145  0.00139603
           4   -0.972504   -0.966235  0.00209076
           5   -0.963168   -0.965622  0.00176029
           6    -0.97086   -0.966495  0.00166944
           7   -0.973624   -0.967513  0.00171369
           8   -0.978336   -0.968866  0.00196211
           9   -0.971416   -0.969149  0.00176444
          10   -0.976788   -0.969913  0.00174553
          11   -0.971244   -0.970034  0.00159103
          12   -0.971252   -0.970136  0.00146168
          13   -0.973548   -0.970398  0.00137261
          14   -0.971688    -0.97049  0.00127765
          15    -0.97502   -0.970792  0.00122764
          16   -0.973288   -0.970948  0.00116078
          17   -0.976972   -0.971303  0.00114531
          18   -0.973384   -0.971418   0.0010875
          19     -0.9694   -0.971312  0.00103544
          20   -0.975816   -0.971537  0.00100786
